web_scraper_order,web_scraper_start_url,nom,prix,adresse,image_lien-src
"1772354979-1","https://sn.coinafrique.com/categorie/chiens?page=11","Chiots Hight quality husky Sibérien","Prix sur demande","location_onFann, Dakar, Sénégal","https://images.coinafrique.com/thumb_1568103_uploaded_image1_1580413061.76.png"
"1772354979-2","https://sn.coinafrique.com/categorie/chiens?page=11","Chiots akita américain","990 000CFA","location_onFann, Dakar, Sénégal","https://images.coinafrique.com/thumb_1536386_uploaded_image1_1580821754.85.png"
"1772354979-3","https://sn.coinafrique.com/categorie/chiens?page=11","Caniche","100 000CFA","location_onDakar, Sénégal","https://images.coinafrique.com/thumb_1502366_uploaded_image1_1579392503.84.png"
"1772354979-4","https://sn.coinafrique.com/categorie/chiens?page=11","Caniches","100 000CFA","location_onMermoz-Sacré Coeur, Dakar, Sénégal","https://images.coinafrique.com/thumb_1502318_uploaded_image1_1579389696.6.png"
"1772354979-5","https://sn.coinafrique.com/categorie/chiens?page=11","Caniche","100 000CFA","location_onDakar, Sénégal","https://images.coinafrique.com/thumb_1502314_uploaded_image1_1579389662.11.png"
"1772354979-6","https://sn.coinafrique.com/categorie/chiens?page=11","Chiots husky sibérien - dog argentin - cane corso","350 000CFA","location_onKeur Massar, Sénégal","https://images.coinafrique.com/thumb_1477206_uploaded_image1_1578994405.03.png"
"1772354979-7","https://sn.coinafrique.com/categorie/chiens?page=11","Spitz nain","Prix sur demande","location_onDakar, Sénégal","https://images.coinafrique.com/thumb_1455313_uploaded_image1_1578601460.81.png"
"1772354979-8","https://sn.coinafrique.com/categorie/chiens?page=11","Chiots Chowchow","990 000CFA","location_onFann, Dakar, Sénégal","https://images.coinafrique.com/thumb_1444195_uploaded_image1_1578452519.81.png"
"1772354979-9","https://sn.coinafrique.com/categorie/chiens?page=11","Bebé Lhasa Apso","Prix sur demande","location_onMbour, Sénégal","https://images.coinafrique.com/thumb_1426072_uploaded_image1_1578142225.59.png"
"1772354979-10","https://sn.coinafrique.com/categorie/chiens?page=11","Chiots Dalmatiens","450 000CFA","location_onFann, Dakar, Sénégal","https://images.coinafrique.com/thumb_1396092_uploaded_image1_1577444313.67.png"
"1772354979-11","https://sn.coinafrique.com/categorie/chiens?page=11","Chiot Berger Allemand","350 000CFA","location_onParcelle Assainies, Dakar, Sénégal","https://images.coinafrique.com/thumb_1387279_uploaded_image1_1577244796.5.png"
"1772354979-12","https://sn.coinafrique.com/categorie/chiens?page=11","Chiots Shih-Tzu","250 000CFA","location_onPoint E, Dakar, Sénégal","https://images.coinafrique.com/thumb_1381280_uploaded_image1_1577118817.92.png"
"1772354979-13","https://sn.coinafrique.com/categorie/chiens?page=11","Chien Pitbull","150 000CFA","location_onDieuppeul-Derklé, Dakar, Sénégal","https://images.coinafrique.com/thumb_1339794_uploaded_image1_1576322961.44.png"
"1772354979-14","https://sn.coinafrique.com/categorie/chiens?page=11","Chiots Cane Corso","500 000CFA","location_onDakar, Sénégal","https://images.coinafrique.com/thumb_1279844_uploaded_image1_1575227437.45.png"
"1772354979-15","https://sn.coinafrique.com/categorie/chiens?page=11","Bichon maltais","170 000CFA","location_onDakar, Sénégal","https://images.coinafrique.com/thumb_1208713_uploaded_image1_1573923517.79.png"
"1772354979-16","https://sn.coinafrique.com/categorie/chiens?page=11","Bergers - labrador - pitbull - rottweiler","Prix sur demande","location_onSicap Liberté, Dakar, Sénégal","https://images.coinafrique.com/thumb_1184876_uploaded_image1_1573492032.86.png"
"1772354979-17","https://sn.coinafrique.com/categorie/chiens?page=11","Bichons malté","180 000CFA","location_onCambérène, Dakar, Sénégal","https://images.coinafrique.com/thumb_1176190_uploaded_image1_1573296965.03.png"
"1772354979-18","https://sn.coinafrique.com/categorie/chiens?page=11","Berger blanc","200 000CFA","location_onThies, Sénégal","https://images.coinafrique.com/thumb_1163882_uploaded_image1_1577060329.24.png"
"1772354979-19","https://sn.coinafrique.com/categorie/chiens?page=11","Chiots Berger Allemand de race pure","125 000CFA","location_onGrand Yoff, Dakar, Sénégal","https://images.coinafrique.com/thumb_1148739_uploaded_image1_1572796180.58.png"
"1772354979-20","https://sn.coinafrique.com/categorie/chiens?page=11","Pitbull","90 000CFA","location_onDakar Plateau, Dakar, Sénégal","https://images.coinafrique.com/thumb_1139092_uploaded_image1_1572580780.65.png"
"1772354979-21","https://sn.coinafrique.com/categorie/chiens?page=11","Chiots Berger Allemand","350 000CFA","location_onParcelle Assainies, Dakar, Sénégal","https://images.coinafrique.com/thumb_1123229_uploaded_image1_1572285379.45.png"
"1772354979-22","https://sn.coinafrique.com/categorie/chiens?page=11","Chien Rottweiler","375 000CFA","location_onDieuppeul-Derklé, Dakar, Sénégal","https://images.coinafrique.com/thumb_1122493_uploaded_image1_1572275963.13.png"
"1772354979-23","https://sn.coinafrique.com/categorie/chiens?page=11","Chiot berger allemand","200 000CFA","location_onPatte d'oie, Dakar, Sénégal","https://images.coinafrique.com/thumb_1115802_uploaded_image1_1572126146.27.png"
