web_scraper_order,web_scraper_start_url,Nom,prix,adresse,image_ln-src
"1772355545-1","https://sn.coinafrique.com/categorie/moutons?page=16","Mouton","80 000CFA","location_onDakar, Sénégal","https://images.coinafrique.com/thumb_823810_uploaded_image1_1565268790.78.png"
"1772355545-2","https://sn.coinafrique.com/categorie/moutons?page=16","Moutons Ladoum","600 000CFA","location_onMbour, Sénégal","https://images.coinafrique.com/thumb_821121_uploaded_image1_1565195094.42.png"
"1772355545-3","https://sn.coinafrique.com/categorie/moutons?page=16","Mouton","125 000CFA","location_onGuédiawaye, Dakar, Sénégal","https://images.coinafrique.com/thumb_817625_uploaded_image1_1565109322.3.png"
"1772355545-4","https://sn.coinafrique.com/categorie/moutons?page=16","Moutons","200 000CFA","location_onSénégal","https://images.coinafrique.com/thumb_816772_uploaded_image1_1565095331.9.png"
"1772355545-5","https://sn.coinafrique.com/categorie/moutons?page=16","Mouton","450 000CFA","location_onSénégal","https://images.coinafrique.com/thumb_816757_uploaded_image1_1565095118.35.png"
"1772355545-6","https://sn.coinafrique.com/categorie/moutons?page=16","Mouton de Tabaski","200 000CFA","location_onSénégal","https://images.coinafrique.com/thumb_814608_uploaded_image1_1565037403.53.png"
"1772355545-7","https://sn.coinafrique.com/categorie/moutons?page=16","Mouton","100 000CFA","location_onSénégal","https://images.coinafrique.com/thumb_813350_uploaded_image1_1565013886.42.png"
"1772355545-8","https://sn.coinafrique.com/categorie/moutons?page=16","Mouton","200 000CFA","location_onSénégal","https://images.coinafrique.com/thumb_813339_uploaded_image1_1565013644.12.png"
"1772355545-9","https://sn.coinafrique.com/categorie/moutons?page=16","Mouton","200 000CFA","location_onLes Parcelles Assainies, Dakar, Sénégal","https://images.coinafrique.com/thumb_812873_uploaded_image1_1565005940.44.png"
"1772355545-10","https://sn.coinafrique.com/categorie/moutons?page=16","Moutons","500 000CFA","location_onDakar, Sénégal","https://images.coinafrique.com/thumb_811661_uploaded_image1_1564966582.22.png"
"1772355545-11","https://sn.coinafrique.com/categorie/moutons?page=16","Moutons","700 000CFA","location_onDakar, Sénégal","https://images.coinafrique.com/thumb_811659_uploaded_image1_1564966498.04.png"
"1772355545-12","https://sn.coinafrique.com/categorie/moutons?page=16","Moutons","200 000CFA","location_onSénégal","https://images.coinafrique.com/thumb_811594_uploaded_image1_1564961187.75.png"
"1772355545-13","https://sn.coinafrique.com/categorie/moutons?page=16","Moutons","650 000CFA","location_onDakar, Sénégal","https://images.coinafrique.com/thumb_808861_uploaded_image1_1564856185.45.png"
"1772355545-14","https://sn.coinafrique.com/categorie/moutons?page=16","Moutons","700 000CFA","location_onDakar, Sénégal","https://images.coinafrique.com/thumb_808847_uploaded_image1_1564855996.2.png"
"1772355545-15","https://sn.coinafrique.com/categorie/moutons?page=16","Moutons","700 000CFA","location_onDakar, Sénégal","https://images.coinafrique.com/thumb_808844_uploaded_image1_1564855896.73.png"
"1772355545-16","https://sn.coinafrique.com/categorie/moutons?page=16","Mouton de race","350 000CFA","location_onSénégal","https://images.coinafrique.com/thumb_806719_uploaded_image1_1564781347.58.png"
"1772355545-17","https://sn.coinafrique.com/categorie/moutons?page=16","Mouton","400 000CFA","location_onSénégal","https://images.coinafrique.com/thumb_806646_uploaded_image1_1564777404.89.png"
"1772355545-18","https://sn.coinafrique.com/categorie/moutons?page=16","Mouton","250 000CFA","location_onGuediawaye, Dakar, Sénégal","https://images.coinafrique.com/thumb_805188_uploaded_image1_1564750708.3.png"
"1772355545-19","https://sn.coinafrique.com/categorie/moutons?page=16","Moutons","200 000CFA","location_onDiamniadio, Sénégal","https://images.coinafrique.com/thumb_804227_uploaded_image1_1564738205.66.png"
"1772355545-20","https://sn.coinafrique.com/categorie/moutons?page=16","Mouton","300 000CFA","location_onDakar, Sénégal","https://images.coinafrique.com/thumb_803088_uploaded_image1_1564684268.56.png"
"1772355545-21","https://sn.coinafrique.com/categorie/moutons?page=16","Mouton de Tabaski","200 000CFA","location_onGuediawaye, Dakar, Sénégal","https://images.coinafrique.com/thumb_799765_uploaded_image1_1564597010.71.png"
"1772355545-22","https://sn.coinafrique.com/categorie/moutons?page=16","Mouton de Tabaski","225 000CFA","location_onGuediawaye, Dakar, Sénégal","https://images.coinafrique.com/thumb_799761_uploaded_image1_1564596876.58.png"
"1772355545-23","https://sn.coinafrique.com/categorie/moutons?page=16","Mouton Azawat","175 000CFA","location_onDakar, Sénégal","https://images.coinafrique.com/thumb_798367_uploaded_image1_1564573411.3.png"
"1772355545-24","https://sn.coinafrique.com/categorie/moutons?page=16","Mouton Ladoum","Prix sur demande","location_onDakar, Sénégal","https://images.coinafrique.com/thumb_786617_uploaded_image1_1564216906.07.png"
"1772355545-25","https://sn.coinafrique.com/categorie/moutons?page=16","Moutons de Tabaski","Prix sur demande","location_onDakar, Sénégal","https://images.coinafrique.com/thumb_785715_uploaded_image1_1564176313.33.png"
"1772355545-26","https://sn.coinafrique.com/categorie/moutons?page=16","Mouton","200 000CFA","location_onDieuppeul-Derklé, Dakar, Sénégal","https://images.coinafrique.com/thumb_785089_uploaded_image1_1564159860.27.png"
"1772355545-27","https://sn.coinafrique.com/categorie/moutons?page=16","Mouton Tabaski","Prix sur demande","location_onSénégal","https://images.coinafrique.com/thumb_784942_uploaded_image1_1564157496.5.png"
"1772355545-28","https://sn.coinafrique.com/categorie/moutons?page=16","Moutons Ladoum","200 000CFA","location_onGrand Yoff, Dakar, Sénégal","https://images.coinafrique.com/thumb_784546_uploaded_image1_1564151388.91.png"
"1772355545-29","https://sn.coinafrique.com/categorie/moutons?page=16","Mouton","220 000CFA","location_onDakar, Sénégal","https://images.coinafrique.com/thumb_774363_uploaded_image1_1563912507.32.png"
"1772355545-30","https://sn.coinafrique.com/categorie/moutons?page=16","Mouton - Bélier","220 000CFA","location_onKeur Massar, Sénégal","https://images.coinafrique.com/thumb_774349_uploaded_image1_1563912073.63.png"
"1772355545-31","https://sn.coinafrique.com/categorie/moutons?page=16","Mouton Ladoum","950 000CFA","location_onSénégal","https://images.coinafrique.com/thumb_afrikannonce_932560_uploaded_image1_1568203329.3.jpg"
"1772355545-32","https://sn.coinafrique.com/categorie/moutons?page=16","Mouton","Prix sur demande","location_onGuediawaye, Dakar, Sénégal","https://images.coinafrique.com/thumb_769625_uploaded_image1_1563810689.31.png"
"1772355545-33","https://sn.coinafrique.com/categorie/moutons?page=16","Mouton","Prix sur demande","location_onGuediawaye, Dakar, Sénégal","https://images.coinafrique.com/thumb_769623_uploaded_image1_1563810688.43.png"
"1772355545-34","https://sn.coinafrique.com/categorie/moutons?page=16","Mouton","300 000CFA","location_onDakar, Sénégal","https://images.coinafrique.com/thumb_766916_uploaded_image1_1563732550.35.png"
"1772355545-35","https://sn.coinafrique.com/categorie/moutons?page=16","Mouton","250 000CFA","location_onSénégal","https://images.coinafrique.com/thumb_766905_uploaded_image1_1563732059.09.png"
"1772355545-36","https://sn.coinafrique.com/categorie/moutons?page=16","Mouton","250 000CFA","location_onDakar-Plateau, Dakar, Sénégal","https://images.coinafrique.com/thumb_766836_uploaded_image1_1563729305.46.png"
"1772355545-37","https://sn.coinafrique.com/categorie/moutons?page=16","Moutons","250 000CFA","location_onDakar-Plateau, Dakar, Sénégal","https://images.coinafrique.com/thumb_766814_uploaded_image1_1563728621.09.png"
"1772355545-38","https://sn.coinafrique.com/categorie/moutons?page=16","Mouton Ladoum","420 000CFA","location_onDakar, Sénégal","https://images.coinafrique.com/thumb_766491_uploaded_image1_1563713033.52.png"
"1772355545-39","https://sn.coinafrique.com/categorie/moutons?page=16","Mouton Ladoum","450 000CFA","location_onGuediawaye, Dakar, Sénégal","https://images.coinafrique.com/thumb_765218_uploaded_image1_1563649515.86.png"
"1772355545-40","https://sn.coinafrique.com/categorie/moutons?page=16","Mouton Malaw","Prix sur demande","location_onGrand Dakar, Dakar, Sénégal","https://images.coinafrique.com/thumb_761777_uploaded_image1_1563546210.72.png"
"1772355545-41","https://sn.coinafrique.com/categorie/moutons?page=16","Ladoum mâle et femelle","800 000CFA","location_onSénégal","https://images.coinafrique.com/thumb_afrikannonce_932546_uploaded_image1_1568203274.06.jpg"
"1772355545-42","https://sn.coinafrique.com/categorie/moutons?page=16","Moutons","Prix sur demande","location_onSénégal","https://images.coinafrique.com/thumb_754311_uploaded_image1_1563375993.83.png"
"1772355545-43","https://sn.coinafrique.com/categorie/moutons?page=16","Mouton Tabaskie","140 000CFA","location_onHLM, Dakar, Sénégal","https://images.coinafrique.com/thumb_754270_uploaded_image1_1563375178.15.png"
"1772355545-44","https://sn.coinafrique.com/categorie/moutons?page=16","Mouton Tabaskie","140 000CFA","location_onHLM, Dakar, Sénégal","https://images.coinafrique.com/thumb_754269_uploaded_image1_1563375078.76.png"
"1772355545-45","https://sn.coinafrique.com/categorie/moutons?page=16","Mouton","140 000CFA","location_onHLM, Dakar, Sénégal","https://images.coinafrique.com/thumb_754261_uploaded_image1_1563374953.78.png"
"1772355545-46","https://sn.coinafrique.com/categorie/moutons?page=16","Mouton gris noir","150 000CFA","location_onHLM, Dakar, Sénégal","https://images.coinafrique.com/thumb_754257_uploaded_image1_1563374819.0.png"
"1772355545-47","https://sn.coinafrique.com/categorie/moutons?page=16","Mouton","Prix sur demande","location_onSénégal","https://images.coinafrique.com/thumb_754242_uploaded_image1_1563374558.14.png"
"1772355545-48","https://sn.coinafrique.com/categorie/moutons?page=16","Mouton de Tabaski","Prix sur demande","location_onHann Bel-Air, Dakar, Sénégal","https://images.coinafrique.com/thumb_752727_uploaded_image2_1563357212.02.png"
"1772355545-49","https://sn.coinafrique.com/categorie/moutons?page=16","Mouton de Tabaski","Prix sur demande","location_onHann Bel-Air, Dakar, Sénégal","https://images.coinafrique.com/thumb_752719_uploaded_image1_1563357011.76.png"
"1772355545-50","https://sn.coinafrique.com/categorie/moutons?page=16","Mouton","300 000CFA","location_onSaint Louis, Sénégal","https://images.coinafrique.com/thumb_751785_uploaded_image1_1563314576.98.png"
"1772355545-51","https://sn.coinafrique.com/categorie/moutons?page=16","Mouton","220CFA","location_onSénégal","https://images.coinafrique.com/thumb_751740_uploaded_image1_1563313372.96.png"
"1772355545-52","https://sn.coinafrique.com/categorie/moutons?page=16","Mouton","25 000CFA","location_onSénégal","https://images.coinafrique.com/thumb_743301_uploaded_image1_1563049123.51.png"
"1772355545-53","https://sn.coinafrique.com/categorie/moutons?page=16","Mouton","260 000CFA","location_onGuediawaye, Dakar, Sénégal","https://images.coinafrique.com/thumb_743069_uploaded_image1_1563041443.85.png"
"1772355545-54","https://sn.coinafrique.com/categorie/moutons?page=16","Moutons","160 000CFA","location_onGuediawaye, Dakar, Sénégal","https://images.coinafrique.com/thumb_743068_uploaded_image1_1563041352.73.png"
"1772355545-55","https://sn.coinafrique.com/categorie/moutons?page=16","Mouton","160 000CFA","location_onGuediawaye, Dakar, Sénégal","https://images.coinafrique.com/thumb_743067_uploaded_image1_1563041352.31.png"
"1772355545-56","https://sn.coinafrique.com/categorie/moutons?page=16","Mouton","150 000CFA","location_onGuediawaye, Dakar, Sénégal","https://images.coinafrique.com/thumb_743066_uploaded_image1_1563041262.7.png"
"1772355545-57","https://sn.coinafrique.com/categorie/moutons?page=16","Mouton","150 000CFA","location_onGuediawaye, Dakar, Sénégal","https://images.coinafrique.com/thumb_743065_uploaded_image1_1563041220.15.png"
"1772355545-58","https://sn.coinafrique.com/categorie/moutons?page=16","Moutons","250 000CFA","location_onSénégal","https://images.coinafrique.com/thumb_742328_uploaded_image1_1563020125.88.png"
"1772355545-59","https://sn.coinafrique.com/categorie/moutons?page=16","Moutons","190 000CFA","location_onFann, Dakar, Sénégal","https://images.coinafrique.com/thumb_730962_uploaded_image1_1562758817.51.png"
"1772355545-60","https://sn.coinafrique.com/categorie/moutons?page=16","Mouton Tabaski","250 000CFA","location_onHLM, Dakar, Sénégal","https://images.coinafrique.com/thumb_725090_uploaded_image1_1562603963.91.png"
"1772355545-61","https://sn.coinafrique.com/categorie/moutons?page=16","Moutons","Prix sur demande","location_onKoussanar, Sénégal","https://images.coinafrique.com/thumb_724916_uploaded_image1_1562601308.96.png"
"1772355545-62","https://sn.coinafrique.com/categorie/moutons?page=16","Mouton Ladoum","300 000CFA","location_onGuediawaye, Dakar, Sénégal","https://images.coinafrique.com/thumb_723681_uploaded_image1_1562583405.41.png"
"1772355545-63","https://sn.coinafrique.com/categorie/moutons?page=16","Moutons","150 000CFA","location_onDakar, Sénégal","https://images.coinafrique.com/thumb_722669_uploaded_image1_1562546978.82.png"
"1772355545-64","https://sn.coinafrique.com/categorie/moutons?page=16","Moutons de race","150 000CFA","location_onDakar, Sénégal","https://images.coinafrique.com/thumb_721746_uploaded_image1_1562546733.94.png"
"1772355548-65","https://sn.coinafrique.com/categorie/moutons?page=15","Mouton","250 000CFA","location_onMbour, Sénégal","https://images.coinafrique.com/thumb_1913304_uploaded_image1_1586356949.67.png"
"1772355548-66","https://sn.coinafrique.com/categorie/moutons?page=15","Mouton Ladoum","185 000CFA","location_onDakar-Plateau, Dakar, Sénégal","https://images.coinafrique.com/thumb_1910059_uploaded_image1_1586295543.6.png"
"1772355548-67","https://sn.coinafrique.com/categorie/moutons?page=15","Mouton","200 000CFA","location_onDakar-Plateau, Dakar, Sénégal","https://images.coinafrique.com/thumb_1909212_uploaded_image1_1586284198.32.png"
"1772355548-68","https://sn.coinafrique.com/categorie/moutons?page=15","Mouton","300 000CFA","location_onDakar-Plateau, Dakar, Sénégal","https://images.coinafrique.com/thumb_1909205_uploaded_image1_1586284053.48.png"
"1772355548-69","https://sn.coinafrique.com/categorie/moutons?page=15","Moutons","350 000CFA","location_onThies, Sénégal","https://images.coinafrique.com/thumb_1905916_uploaded_image1_1586247542.22.png"
"1772355548-70","https://sn.coinafrique.com/categorie/moutons?page=15","Mouton","170 000CFA","location_onDakar Plateau, Dakar, Sénégal","https://images.coinafrique.com/thumb_1904199_uploaded_image1_1586204493.61.png"
"1772355548-71","https://sn.coinafrique.com/categorie/moutons?page=15","Ladoum jeune femelle","Prix sur demande","location_onGuediawaye, Dakar, Sénégal","https://images.coinafrique.com/thumb_1869297_uploaded_image1_1585585673.13.png"
"1772355548-72","https://sn.coinafrique.com/categorie/moutons?page=15","Moutons Toulabire","150 000CFA","location_onDakar-Plateau, Dakar, Sénégal","https://images.coinafrique.com/thumb_1863893_uploaded_image1_1585491707.63.png"
"1772355548-73","https://sn.coinafrique.com/categorie/moutons?page=15","Ladoum pur sang","Prix sur demande","location_onKeur Massar, Sénégal","https://images.coinafrique.com/thumb_1860713_uploaded_image1_1585413193.66.png"
"1772355548-74","https://sn.coinafrique.com/categorie/moutons?page=15","Mouton","95 000CFA","location_onDakar-Plateau, Dakar, Sénégal","https://images.coinafrique.com/thumb_1847816_uploaded_image1_1585163617.45.png"
"1772355548-75","https://sn.coinafrique.com/categorie/moutons?page=15","Petit mouton","450 000CFA","location_onDakar-Plateau, Dakar, Sénégal","https://images.coinafrique.com/thumb_1843870_uploaded_image1_1585120034.1.png"
"1772355548-76","https://sn.coinafrique.com/categorie/moutons?page=15","Mouton","400 000CFA","location_onDakar-Plateau, Dakar, Sénégal","https://images.coinafrique.com/thumb_1843866_uploaded_image1_1585119994.59.png"
"1772355548-77","https://sn.coinafrique.com/categorie/moutons?page=15","Mouton","1 500 000CFA","location_onDakar-Plateau, Dakar, Sénégal","https://images.coinafrique.com/thumb_1843864_uploaded_image1_1585119964.75.png"
"1772355548-78","https://sn.coinafrique.com/categorie/moutons?page=15","Moutons","85 000CFA","location_onDakar-Plateau, Dakar, Sénégal","https://images.coinafrique.com/thumb_1838123_uploaded_image1_1584988683.06.png"
"1772355548-79","https://sn.coinafrique.com/categorie/moutons?page=15","Mouton","95 000CFA","location_onDakar-Plateau, Dakar, Sénégal","https://images.coinafrique.com/thumb_1830885_uploaded_image1_1584859590.65.png"
"1772355548-80","https://sn.coinafrique.com/categorie/moutons?page=15","Mouton Ladoum","400 000CFA","location_onDakar-Plateau, Dakar, Sénégal","https://images.coinafrique.com/thumb_1823834_uploaded_image1_1584711324.24.png"
"1772355548-81","https://sn.coinafrique.com/categorie/moutons?page=15","Ladoum","1 500 000CFA","location_onOuakam, Dakar, Sénégal","https://images.coinafrique.com/thumb_1823167_uploaded_image1_1584704737.56.png"
"1772355548-82","https://sn.coinafrique.com/categorie/moutons?page=15","Mouton","350CFA","location_onRufisque, Sénégal","https://images.coinafrique.com/thumb_1817604_uploaded_image1_1584619772.78.png"
"1772355548-83","https://sn.coinafrique.com/categorie/moutons?page=15","Mouton","180 000CFA","location_onM'bour, Sénégal","https://images.coinafrique.com/thumb_1814464_uploaded_image1_1584555845.45.png"
"1772355548-84","https://sn.coinafrique.com/categorie/moutons?page=15","Mouton","120 000CFA","location_onDakar-Plateau, Dakar, Sénégal","https://images.coinafrique.com/thumb_1802901_uploaded_image1_1584375644.03.png"
"1772355548-85","https://sn.coinafrique.com/categorie/moutons?page=15","Mouton","280 000CFA","location_onOuakam, Dakar, Sénégal","https://images.coinafrique.com/thumb_1788990_uploaded_image1_1584108921.63.png"
"1772355548-86","https://sn.coinafrique.com/categorie/moutons?page=15","Ladoum pur sang","850 000CFA","location_onDakar-Plateau, Dakar, Sénégal","https://images.coinafrique.com/thumb_1712699_uploaded_image1_1582797667.2.png"
"1772355548-87","https://sn.coinafrique.com/categorie/moutons?page=15","Mouton","Prix sur demande","location_onSénégal","https://images.coinafrique.com/thumb_1710929_uploaded_image1_1582758028.84.png"
"1772355548-88","https://sn.coinafrique.com/categorie/moutons?page=15","Mouton","Prix sur demande","location_onHLM, Dakar, Sénégal","https://images.coinafrique.com/thumb_1705512_uploaded_image1_1582672344.35.png"
"1772355548-89","https://sn.coinafrique.com/categorie/moutons?page=15","Métisse Azawat","180 000CFA","location_onDakar Plateau, Dakar, Sénégal","https://images.coinafrique.com/thumb_1689899_uploaded_image1_1582386569.78.png"
"1772355548-90","https://sn.coinafrique.com/categorie/moutons?page=15","Femelle Baine Mélo","Prix sur demande","location_onDakar, Sénégal","https://images.coinafrique.com/thumb_1660551_uploaded_image1_1581908728.72.png"
"1772355548-91","https://sn.coinafrique.com/categorie/moutons?page=15","Mouton Géniteur","Prix sur demande","location_onKeur Massar, Sénégal","https://images.coinafrique.com/thumb_1655632_uploaded_image1_1581790027.94.png"
"1772355548-92","https://sn.coinafrique.com/categorie/moutons?page=15","Agnel Ladoum","350 000CFA","location_onRufisque, Sénégal","https://images.coinafrique.com/thumb_1644447_uploaded_image1_1581598949.87.png"
"1772355548-93","https://sn.coinafrique.com/categorie/moutons?page=15","Lots  de ladoum","1 600 000CFA","location_onDakar, Sénégal","https://images.coinafrique.com/thumb_1634438_uploaded_image1_1581445535.38.png"
"1772355548-94","https://sn.coinafrique.com/categorie/moutons?page=15","Moutons","Prix sur demande","location_onHLM, Dakar, Sénégal","https://images.coinafrique.com/thumb_1618881_uploaded_image1_1581221831.16.png"
"1772355548-95","https://sn.coinafrique.com/categorie/moutons?page=15","Femelle Ladoum","700 000CFA","location_onKeur Massar, Sénégal","https://images.coinafrique.com/thumb_1599640_uploaded_image1_1580917148.36.png"
"1772355548-96","https://sn.coinafrique.com/categorie/moutons?page=15","Femelle ladoum","700 000CFA","location_onKeur Massar, Sénégal","https://images.coinafrique.com/thumb_1599587_uploaded_image1_1580916817.7.png"
"1772355548-97","https://sn.coinafrique.com/categorie/moutons?page=15","Femelle ladoum","700 000CFA","location_onKeur Massar, Sénégal","https://images.coinafrique.com/thumb_1599357_uploaded_image1_1580914588.98.png"
"1772355548-98","https://sn.coinafrique.com/categorie/moutons?page=15","Mouton ladoum","700 000CFA","location_onGrand Yoff, Dakar, Sénégal","https://images.coinafrique.com/thumb_1594060_uploaded_image1_1580838107.76.png"
"1772355548-99","https://sn.coinafrique.com/categorie/moutons?page=15","Brebis","Prix sur demande","location_onKeur Massar, Sénégal","https://images.coinafrique.com/thumb_1584173_uploaded_image2_1580715083.79.png"
